_id,fid,perimeter,name,acres,shape_length,shape_area
14653,280,,ST PETERS CEMETERY,5.917875614,0.008677219,2.54E-06
14654,281,,ST MARTIN CEMETERY,9.174501374,0.00880658,3.94E-06
14655,282,,MT OLIVET CEMETERY,16.72529523,0.011769847,7.18E-06
14656,283,,POALE ZEDECK CEMETERY,1.437697396,0.003405459,6.18E-07
14657,284,,HOLLYWOOD MEMORIAL PARK,16.03077037,0.011677384,6.89E-06
14658,285,,RIDGELAWN CEMETERY,27.9479598,0.018452713,1.20E-05
14659,286,,BIRMINGHAM CEMETERY,24.96199833,0.014407899,1.07E-05
14660,287,,ST IGNATIUS - ST MARY CEMETERY,7.75636372,0.008292968,3.33E-06
14661,288,,ST JOHNS CATHEDRAL BYZANTINE CATHOLIC CEMETERY ,4.037963546,0.007453582,1.73E-06
14662,289,,ALL SAINTS POLISH NATIONAL CATHOLIC CEMETERY,11.6951004,0.009444598,5.02E-06
14663,290,,ROSEDALE CEMETERY,6.216035045,0.006948305,2.67E-06
14664,291,,ST NICHOLAS ORTHODOX CEMETERY,9.245523669,0.012764201,3.97E-06
14665,292,,HOMESTEAD HEBREW CEMETERY,3.496841175,0.007388673,1.50E-06
14666,293,,ST BARBARA ROMAN CATHOLIC CEMETERY,4.87133232,0.008815749,2.09E-06
14667,294,,HOLY TRINITY CATHOLIC CEMETERY,20.03893747,0.013141162,8.61E-06
14668,295,,ST NICHOLAS CEMETERY,4.743104686,0.00701507,2.04E-06
14669,296,,MT VERNON CEMETERY,38.28617988,0.018610426,1.64E-05
14670,297,,ST CLARE - ST MARYS SERVIAN ORTHODOX CEMETERY,17.64597217,0.015480696,7.56E-06
14671,298,,DUGAN CEMETERY,5.135022321,0.006671882,2.21E-06
14672,299,,ST COLUMBKILLE CEMETERY,9.717475164,0.014273048,4.18E-06
14673,300,,MT AIRY CEMETERY,57.32361534,0.022827544,2.47E-05
14674,301,,PLEASANT UNITY CEMETERY,4.636940287,0.006367761,2.00E-06
14675,302,,ST MICHAELS CEMETERY,18.91505135,0.016964023,8.12E-06
14676,303,,SOUTHSIDE CEMETERY,44.95592809,0.021197991,1.93E-05
14677,304,,NEW LIGHT CEMETERY,4.432847567,0.005859091,1.91E-06
14678,305,,BRANCH 45 WORKMENS CIRCLE CEMETERY,1.578922674,0.004063777,6.79E-07
14679,306,,ST LUKES CEMETERY,2.521058035,0.005136593,1.08E-06
14680,307,,RIVERVIEW MEMORIAL PARK,91.66043832,0.031214754,3.94E-05
14681,308,,UKRAINIAN CEMETERY OF ST PETER & ST PAUL,3.848883524,0.005445959,1.65E-06
14682,309,,ST ANNS ROMAN CATHOLIC CEMETERY,1.927088213,0.00398787,8.27E-07
14683,310,,HOLY SOULS CATHOLIC CEMETERY,19.48013507,0.012396909,8.37E-06
14684,311,,MELROSE CEMETERY,39.63497048,0.022943315,1.70E-05
14685,312,,OLD GERMAN CEMETERY,0.695581597,0.002120557,2.99E-07
14686,313,,OHAVE ZEDEK CEMETERY,0.454484981,0.001830054,1.95E-07
14687,314,,CHOFETZ CHAIM CEMETERY,0.584914523,0.002053867,2.51E-07
14688,315,,BETTY ROSENBERG/PARKWAY JEWISH CEMETERY ,0.185635315,0.001259928,7.97E-08
14689,316,,TREE OF LIFE MEMORIAL PARK,30.13301489,0.022802598,1.30E-05
14690,317,,ALLEGHENY MEMORIAL CEMETERY,95.90435748,0.026604659,4.13E-05
14691,318,,TEMPLE SINAI MEMORIAL PARK,43.64807937,0.021139127,1.88E-05
14692,319,,INGOMAR METHODIST CHURCH CEMETERY,3.73289915,0.005678708,1.61E-06
14693,320,,DORSEYVILLE - TRINITY CEMETERY,1.753142604,0.003968153,7.55E-07
14694,321,,LAKEWOOD MEMORIAL GARDENS,56.88702529,0.020039714,2.45E-05
14695,322,,SACRED HEART - ST PETER CEMETERY,5.679298599,0.006512157,2.45E-06
14696,323,,ST CLEMENT CEMETERY,9.031052464,0.008688442,3.89E-06
14697,324,,HOPEWELL HEBRON CEMETERY,23.48720864,0.013294376,1.01E-05
14698,325,,ST MARYS CEMETERY,5.049683027,0.006910068,2.17E-06
14699,326,,CNESETH ISRAEL CEMETERY,2.477740675,0.005508712,1.07E-06
14700,327,,HOLY TRINITY CEMETERY,16.35576346,0.011592263,7.02E-06
14701,328,,BAKERSTOWN UNITED METHODIST CEMETERY,0.431618087,0.001757345,1.86E-07
14702,329,,MILLERSTOWN CEMETERY,1.994559829,0.003811378,8.59E-07
14703,330,,HOLY SAVIOR CEMETERY,115.5934525,0.04202654,4.98E-05
14704,331,,ST ADALBERT CEMETERY,14.72916061,0.015988856,6.32E-06
14705,332,,TROY HILL CEMETERY,0.818345867,0.002601164,3.52E-07
14706,333,,ST WENDELIN CATHOLIC CEMETERY,6.078739678,0.009557959,2.61E-06
14707,334,,ST MARKS CEMETERY,21.81900627,0.018565975,9.38E-06
14708,335,,FIRST CONGREGATION CHURCH CEMETERY,2.150473866,0.003876845,9.25E-07
14709,336,,ST ELIAS BYZANTINE CATHOLIC CEMETERY,16.56129066,0.014783315,7.11E-06
14710,337,,ZION CEMETERY,6.680949824,0.007315534,2.87E-06
14711,338,,ST JOSEPH CEMETERY,13.77098012,0.010150002,5.91E-06
14712,339,,ST TERESA OF AVILA CEMETERY,0.532763085,0.002013489,2.29E-07
14713,340,,ST PATRICK CEMETERY,0.778159481,0.002480639,3.34E-07
14714,341,,MT ALVERNIA  - SISTERS OF SAINT FRANCIS CEMETERY ,1.087778477,0.003058928,4.68E-07
14715,342,,RESURRECTION CEMETERY,103.6156508,0.026655254,4.45E-05
14716,343,,RESTLAND MEMORIAL CEMETERY,90.83898496,0.034164821,3.90E-05
14717,344,,PEACE EVANGELICAL LUTHERAN CEMETERY,3.041039242,0.004596271,1.30E-06
14718,345,,LAIRD CEMETERY,2.048008004,0.006020868,8.80E-07
14719,346,,HAMPTON CEMETERY,8.43718994,0.009818849,3.63E-06
14720,347,,EAST UNION CEMETERY,3.149576312,0.005276245,1.36E-06
14721,348,,ST NICHOLAS CEMETERY,1.551598196,0.003508053,6.68E-07
14722,349,,ROUND HILL CEMETERY,36.24233427,0.020511018,1.55E-05
14723,350,,CROSSROADS CEMETERY,3.531935818,0.005079797,1.52E-06
14724,351,,ST LADISLAUS CEMETERY,3.571829335,0.005554748,1.54E-06
14725,352,,BURTNER CEMETERY,0.745392226,0.002430924,3.21E-07
14726,353,,POALE ZEDECK MEMORIAL PARK CEMETERY,12.48427874,0.011005941,5.38E-06
14727,354,,BULL CREEK CEMETERY,23.58633988,0.013168363,1.02E-05
14728,355,,DEER CREEK UNITED PRESBYTERIAN CEMETERY,4.258628856,0.007048775,1.84E-06
14729,356,,FIRST ST PAULS EVANGELICAL LUTHERAN CEMETERY,6.100282162,0.006683051,2.62E-06
14730,357,,MT PISGAH CEMETERY,2.291006585,0.005639721,9.84E-07
14731,358,,UNION DALE CEMETERY,98.22854379,0.04836559,4.22E-05
14732,359,,ST PAULS CEMETERY,5.65593069,0.007049263,2.43E-06
14733,360,,CALVARY CEMETERY ,164.4225737,0.041129893,7.06E-05
14734,361,,BETH HAMEDRASH HAGADOL-BETH JACOB CEMETERY,3.779058881,0.005513788,1.62E-06
14735,362,,ROSS COLONIAL CEMETERY  ,0.149254601,0.001068945,6.41E-08
14736,363,,HUNGARIAN REFORMED CEMETERY,0.819315303,0.002796057,3.52E-07
14737,364,,PETRIE CEMETERY,0.392292589,0.001984179,1.69E-07
14738,365,,ST JOSEPHS CEMETERY,0.998678867,0.002817424,4.29E-07
14739,366,,ST CASIMIR CEMETERY,21.26741351,0.01287941,9.13E-06
14740,367,,WOODLAWN CEMETERY,42.90318186,0.023312824,1.84E-05
14741,368,,ST AGATHAS CEMETERY,6.598859079,0.007879043,2.83E-06
14742,369,,OAKDALE CEMETERY,23.67786958,0.01275776,1.02E-05
14743,370,,SEWICKLEY CEMETERY,78.78528777,0.028985404,3.39E-05
14744,371,,ST MARK CEMETERY,1.184727871,0.003255816,5.10E-07
14745,372,,NEW SAINT JOSEPHS CEMETERY,53.58297046,0.02106646,2.30E-05
14746,373,,TREE OF LIFE SFARD CEMETERY,1.296805972,0.004390293,5.56E-07
14747,374,,DUNCAN HEIGHTS-LAKEVIEW CEMETERY,5.774080401,0.011290392,2.49E-06
14748,375,,BIGLEY FAMILY CEMETERY,0.778158718,0.002385114,3.34E-07
14749,376,,COULTER CEMETERY,1.117943577,0.003154593,4.79E-07
14750,377,,PLUM CREEK CEMETERY,54.36940086,0.023264091,2.34E-05
14751,378,,BAKERSTOWN CEMETERY,4.960858101,0.006109476,2.14E-06
14752,379,,GREENTREE CEMETERY,1.353747288,0.003652852,5.81E-07
14753,380,,ST MARY CATHOLIC CEMETERY,31.40229618,0.018797239,1.35E-05
14754,381,,ST PAULS LUTHERAN CEMETERY,1.901604805,0.003900943,8.16E-07
14755,382,,ST JOHN THE BAPTISAINT CEMETERY,5.697982773,0.007842789,2.45E-06
14756,383,,HOLY TRINITY POLISH CHURCH CEMETERY,8.813551426,0.008430813,3.79E-06
14757,384,,ST PETERS CEMETERY,28.10181913,0.014718905,1.21E-05
14758,385,,BEULAH PRESBYTERIAN CHURCH CEMETERY,7.107014557,0.010420167,3.05E-06
14759,386,,NOBLESTOWN PRESBYTERIAN CEMETERY,1.211141126,0.003648149,5.20E-07
14760,387,,ST PATRICK CEMETERY,3.785732611,0.005953408,1.63E-06
14761,388,,ST PAUL OF THE CROSS MONESTARY CEMETERY,2.412134024,0.004169854,1.04E-06
14762,389,,MT PLEASANT  - PLEASANT HILL CEMETERY,1.981068449,0.003905673,8.54E-07
14763,390,,TAYLOR CEMETERY,1.080701003,0.002758838,4.63E-07
14764,391,,WEST LIBERTY CEMETERY,3.290592009,0.005642515,1.41E-06
14765,392,,DEPRECIATION LANDS MUSEUM CEMETERY,0.566423295,0.002094813,2.44E-07
14766,393,,FAIRMOUNT PRESBYTERIAN CHURCH CEMETERY,5.597943558,0.006957683,2.41E-06
14767,394,,BETH ABRAHAM - SHAARE ZEDECK CEMETERY ,9.682297327,0.010605835,4.16E-06
14768,395,,SHAARE TORAH CEMETERY,8.138073963,0.010011378,3.49E-06
14769,396,,WORKINGMENS CIRCLE CEMETERY 975,1.53190787,0.003329695,6.59E-07
14770,397,,WORKINGMENS CIRCLE CEMETERY 932,0.998852356,0.002866659,4.29E-07
14771,398,,FIRST PODOLIER CEMETERY,0.831996325,0.002758082,3.58E-07
14772,399,,ADATH ISRAEL CEMETERY,2.195636633,0.00419327,9.44E-07
14773,400,,MACHSIKEI HADAS CEMETERY,1.801755898,0.003667091,7.75E-07
14774,401,,OLD CHESED SHEL EMETH CEMETERY,0.326049947,0.001845972,1.40E-07
14775,402,,ST GREGORY RUSSIAN ORTHODOX CEMETERY,2.188265171,0.004575017,9.39E-07
14776,403,,UNITED CEMETERY,37.49572646,0.017617804,1.61E-05
14777,404,,CHRIST OUR REDEEMER CEMETERY,70.07165432,0.02930159,3.01E-05
14778,405,,WEST VIEW CEMETERY,54.38069504,0.031109303,2.34E-05
14779,406,,ST AUGUSTINE CEMETERY,22.5430735,0.015082793,9.69E-06
14780,407,,FOREST GROVE CEMETERY,1.157407125,0.002953885,4.98E-07
14781,408,,RICHLAND - DRAVOSBURG CEMETERY,21.41166138,0.014759981,9.19E-06
14782,409,,MIFFLIN UNITED PRESBYTERIAN CHURCH CEMETERY,1.227276146,0.003141437,5.27E-07
14783,410,,LITHUANIAN CEMETERY,3.211974678,0.005729832,1.38E-06
14784,411,,ST ALEXANDER NEVSKY CEMETERY,6.668474541,0.00743228,2.87E-06
14785,412,,MCKEESPORT VERSAILLES CEMETERY,58.74627118,0.034141617,2.52E-05
14786,413,,CORAOPOLIS CEMETERY,24.38165484,0.018073422,1.05E-05
14787,414,,CHURCH HILL CEMETERY,29.01308433,0.018879182,1.25E-05
14788,415,,ST JOSEPH CEMETERY,5.357721201,0.006270557,2.30E-06
14789,416,,HENDERSON CEMETERY,4.634918223,0.008943349,1.99E-06
14790,417,,ST JOHN THE BAPTISAINT RUSSIAN CEMETERY,9.046471929,0.009261893,3.88E-06
14791,418,,ST NICHOLAS CEMETERY,9.898913883,0.009412265,4.25E-06
14792,419,,ROBINSON RUN CEMETERY,43.85329706,0.031581156,1.88E-05
14793,420,,SHOUSETOWN-GLENWILLARD CEMETERY,0.123241292,0.001065298,5.30E-08
14794,421,,SPRINGDALE CEMETERY,2.847132094,0.004978154,1.22E-06
14795,422,,HIGHWOOD CEMETERY,87.60605914,0.032017804,3.77E-05
14796,423,,MT LEBANON CEMETERY,49.07438864,0.019790669,2.11E-05
14797,424,,TREE OF LIFE CEMETERY ,3.882599116,0.010963102,1.67E-06
14798,425,,ST MICHAELS CEMETERY,6.49230471,0.01258199,2.79E-06
14799,426,,BELLEVUE CEMETERY,1.028917382,0.002822226,4.42E-07
14800,427,,MT CARMEL CEMETERY,31.22261323,0.01948729,1.34E-05
14801,428,,ST NICHOLAS GREEK ORTHODOX CEMETERY,1.791265063,0.00494017,7.70E-07
14802,429,,ST HEDWIG CEMETERY,3.18931698,0.005076129,1.37E-06
14803,430,,HOLY NAME CEMETERY ,8.801479497,0.009878258,3.78E-06
14804,431,,PINE CREEK CEMETERY,2.394643662,0.004098905,1.03E-06
14805,432,,OLD GERMAN CEMETERY,1.982602354,0.003850221,8.51E-07
14806,433,,ST STEPHENS CATHOLIC CEMETERY,3.585075509,0.008851548,1.54E-06
14807,434,,CALVERY CEMETERY,24.41626868,0.020904424,1.05E-05
14808,435,,SACRED HEART CEMETERY,11.03177714,0.011919015,4.73E-06
14809,436,,JEFFERSON MEMORIAL CEMETERY,298.9747272,0.065212776,0.000128226
14810,437,,BETHEL CEMETERY,14.35614212,0.010883277,6.16E-06
14811,438,,STS PETER & PAUL NATIONAL SLOVAK CEMETERY,8.391281681,0.008753536,3.60E-06
14812,439,,ST VLADIMIR CEMETERY,6.311340622,0.007474445,2.71E-06
14813,440,,FAIRVIEW CEMETERY,1.481218505,0.006183743,6.36E-07
14814,441,,OLD ELIZABETH CEMETERY,1.112199309,0.00280962,4.77E-07
14815,442,,PRIDGEON CEMETERY,0.403570021,0.001749045,1.74E-07
14816,443,,ST JOSEPH CEMETERY,3.949011796,0.006098053,1.70E-06
14817,444,,WEST UNION CEMETERY,2.525126504,0.005770899,1.09E-06
14818,445,,LORETTO CEMETERY,21.59727265,0.019327544,9.27E-06
14819,446,,VOEGTLY CEMETERY,6.823193915,0.008788166,2.93E-06
14820,447,,CHARTIERS CEMETERY,43.27798682,0.020736698,1.86E-05
14821,448,,ST JOSEPHATS CEMETERY,14.77417768,0.01015758,6.34E-06
14822,449,,ST JOSEPH CEMETERY,6.386173418,0.007482448,2.74E-06
14823,450,,HOMEWOOD CEMETERY,176.1693117,0.039798763,7.57E-05
14824,451,,SMITHFIELD EAST END CEMETERY,16.80735485,0.011056457,7.22E-06
14825,452,,ST MARYS CEMETERY,30.90443198,0.018611737,1.33E-05
14826,453,,OHAVE SHALOM CEMETERY,0.714181786,0.002230448,3.07E-07
14827,454,,OHAVE ZEDEK CEMETERY,0.520278091,0.001959635,2.24E-07
14828,455,,BETHANY CEMETERY,0.923429645,0.002594525,3.96E-07
14829,456,,MONONGAHELA CEMETERY,64.74756208,0.029052543,2.78E-05
14830,457,,ST JOHN THE BAPTIST CEMETERY,0.438240528,0.002289438,1.88E-07
14831,458,,ST MARY OF THE ASSUMPTION CEMETERY,14.88519244,0.011456445,6.41E-06
14832,459,,BLACKBURN UNITED METHODIST CHURCH CEMETERY,0.969240845,0.002918758,4.17E-07
14833,460,,CALVARY CEMETERY,1.654349593,0.003665018,7.09E-07
14834,461,,OUR LADY OF HOPE CEMETERY,109.3400625,0.028247465,4.71E-05
14835,462,,ST NICHOLAS CEMETERY,1.090843898,0.003356537,4.68E-07
14836,463,,STS PETER & PAUL CEMETERY,3.650542782,0.005523853,1.57E-06
14837,464,,MONTOUR CEMETERY,2.585567811,0.005294002,1.11E-06
14838,465,,MT ROYAL CEMETERY,88.15701405,0.033087023,3.79E-05
14839,466,,VERONA CEMETERY,8.164617824,0.008212822,3.51E-06
14840,467,,GEMILAS CHESED CEMETERY ,18.78851728,0.011397736,8.06E-06
14841,468,,OLD GEMILAS CHESED CEMETERY,1.449295052,0.004664868,6.21E-07
14842,469,,TEMPLE BNAI ISRAEL CEMETERY,3.984436951,0.006229781,1.71E-06
14843,470,,CROSSROADS CEMETERY,6.399233383,0.007686957,2.75E-06
14844,471,,PETERS CREEK CEMETERY,0.586776094,0.002312491,2.52E-07
14845,472,,DRAVO CEMETERY,0.899144929,0.002524337,3.85E-07
14846,473,,GOOD SAMARITAN CATHOLIC CEMETERY,14.9955332,0.011612267,6.46E-06
14847,474,,ADATH JESHURUN CEMETERY,7.015542705,0.007861877,3.02E-06
14848,475,,PROSPECT CEMETERY,13.87017925,0.01013529,5.97E-06
14849,476,,MINERSVILLE CEMETERY,4.482869029,0.006320995,1.93E-06
14850,477,,HOLY VIRGIN RUSSIAN ORTHODOX CEMETERY,3.768418651,0.005173922,1.62E-06
14851,478,,ST MARYS UKRAINIAN GREEK CATHOLIC CEMETERY ,4.607207856,0.005712669,1.98E-06
14852,479,,PLISKOVER CEMETERY,2.169511937,0.004101696,9.33E-07
14853,480,,AHAVATH ACHIM CEMETERY ,0.820942008,0.002932262,3.53E-07
14854,481,,BETHANY CEMETERY,4.065460725,0.005588839,1.75E-06
14855,482,,ANSHE LUBOVITZ CEMETERY,1.416208468,0.00335033,6.09E-07
14856,483,,CHESED SHEL EMETH CEMETERY,4.188875105,0.005430633,1.80E-06
14857,484,,OAK GROVE CEMETERY,4.346593064,0.005808276,1.87E-06
14858,485,,HUNGARIAN REFORMED CEMETERY ,2.866665822,0.005928863,1.23E-06
14859,486,,ST ANNE CEMETERY,8.636632084,0.009803883,3.71E-06
14860,487,,AGUDATH ACHIM CEMETERY,3.128932973,0.005649968,1.34E-06
14861,488,,ALL SAINTS CEMETERY,59.81673899,0.024911601,2.57E-05
14862,489,,TURNER CEMETERY,0.687234725,0.002553565,2.95E-07
14863,490,,VALLEY CEMETERY,6.916983126,0.008972151,2.97E-06
14864,491,,FAIRVIEW CEMETERY,5.645528565,0.006646508,2.42E-06
14865,492,,ST JOSEPH CEMETERY,5.742052552,0.011542804,2.46E-06
14866,493,,LEBANON CHURCH CEMETERY,13.30551382,0.010264796,5.71E-06
14867,494,,ST JOSEPHS CEMETERY,9.221985341,0.008395435,3.97E-06
14868,495,,RICHEY FAMILY CEMETERY,0.136405384,0.000985037,5.86E-08
14869,496,,HOLY FAMILY CEMETERY,4.057715239,0.008229495,1.74E-06
14870,497,,DEER CREEK CEMETERY,20.77883412,0.014700994,8.94E-06
14871,498,,GREENOCK CEMETERY,0.944165893,0.002635268,4.05E-07
14872,499,,JEFFERSON METHODIST EPISCOPAL CEMETERY,1.294530842,0.003053643,5.55E-07
14873,500,,ELIZABETH CEMETERY,11.29821079,0.00944646,4.84E-06
14874,501,,ST JOHN VIANNEY CEMETERY,34.55266359,0.016395204,1.48E-05
14875,502,,ST NICHOLAS CEMETERY,26.28059809,0.018768265,1.13E-05
14876,503,,ALLEGHENY CEMETERY,300.9360271,0.064117451,0.00012934
14877,504,,ST CLAIR CEMETERY,2.723764596,0.004831621,1.17E-06
14878,505,,HOMESTEAD CEMETERY,16.65225884,0.01233178,7.15E-06
14879,506,,ST MARY MAGDELENE CEMETERY,12.40568948,0.011179777,5.33E-06
14880,507,,ST GEORGE CEMETERY,13.11233244,0.011976328,5.63E-06
14881,508,,ST JOHNS CEMETERY,5.508385141,0.008212877,2.37E-06
14882,509,,MT ASSISI CONVENT CEMETERY,0.521613625,0.001875337,2.24E-07
14883,510,,ST STANISLAUS AND ST ANTHONY CATHOLIC CEMETERY,108.0667154,0.037976088,4.65E-05
14884,511,,ST MARYS CEMETERY,80.15773889,0.057705743,3.45E-05
14885,512,,BNAI ISRAEL CEMETERY,9.166353918,0.018270877,3.94E-06
14886,513,,UNION CEMETERY,4.814828182,0.007154533,2.07E-06
14887,514,,GREENWOOD CEMETERY,61.54736272,0.025714835,2.65E-05
14888,515,,BRADDOCK CEMETERY,30.51253724,0.017043724,1.31E-05
14889,516,,BRIGHT CEMETERY,0.268389236,0.001374301,1.15E-07
14890,517,,ST MARY CEMETERY,6.240961755,0.00694906,2.68E-06
14891,518,,ST JAMES CEMETERY,4.474430185,0.005657383,1.93E-06
14892,519,,GOOD SHEPARD CEMETERY,178.9941385,0.049325703,7.69E-05
14893,520,,GRANDVIEW CEMETERY,144.1033577,0.038848476,6.19E-05
14894,521,,HOLY TRINITY CEMETERY,4.612418594,0.006481538,1.99E-06
14895,522,,SALEM UNITED METHODIST CEMETERY,1.187597053,0.002962661,5.12E-07
14896,523,,MT PLEASANT CEMETERY,4.618317853,0.00688729,1.99E-06
14897,524,,ST MARYS CEMETERY,23.35484196,0.013099988,1.00E-05
14898,525,,SISTERS OF THE HOLY SPIRIT CEMETERY,5.018128115,0.00612359,2.16E-06
14899,526,,ST JOSEPH CEMETERY,2.597498525,0.004645838,1.12E-06
14900,527,,HILAND PRESBYTERIAN CHURCH CEMETERY,2.396639837,0.00417293,1.03E-06
14901,528,,UNITY COMMUNITY CHURCH CEMETERY,7.212016678,0.008255898,3.10E-06
14902,529,,HOLY TRINITY - ST SAVA CEMETERY,12.40955516,0.010811656,5.32E-06
14903,530,,ST JOHNS LUTHERAN CEMETERY,0.644005841,0.002319091,2.77E-07
14904,531,,TRINITY LUTHERAN CHURCH CEMETERY,0.723916416,0.00317418,3.11E-07
14905,532,,CLINTON UNITED PRESBYTERIAN CHURCH CEMETERY,11.14660694,0.008782479,4.79E-06
14906,533,,WILLIAM PENN MEMORIAL CEMETERY,20.16164013,0.013111698,8.66E-06
14907,534,,ST GEORGE CEMETERY,5.518877978,0.007815648,2.37E-06
14908,535,,BAKERSTOWN FIRST PRESBYTERIAN CEMETERY,0.79067306,0.002528324,3.41E-07
14909,536,,HEBRON UNITED PRESBYTERIAN CHURCH CEMETERY,2.784941889,0.005582521,1.20E-06
14910,537,,JEFFERSON UNITED PRESBYTERIAN CHURCH CEMETERY,1.964013279,0.003794782,8.42E-07
14911,538,,LITTLE HILL UNITED METHODIST CHURCH CEMETERY,0.788343768,0.002680878,3.39E-07
14912,539,,BAIRDFORD UNITED METHODIST CHURCH CEMETERY,0.019122486,0.000368999,8.24E-09
14913,540,,BETH SHALOM CEMETERY,52.68552698,0.020161605,2.27E-05
14914,541,,NORTH ZION LUTHERAN CHURCH CEMETERY,0.906710847,0.002611243,3.89E-07
14915,542,,OLD SAINT LUKES CHURCH CEMETERY,0.41880477,0.001762904,1.80E-07
14916,543,,FRANKLIN PARK BAPTIST CHURCH CEMETERY,0.631803531,0.002155615,2.72E-07
14917,544,,WEST CEMETERY,0.085819795,0.000841528,3.68E-08
14918,545,,WALTER CHAPEL CEMETERY,1.968343446,0.004882972,8.47E-07
14919,546,,ST ALPHONSUS CHURCH CEMETERY,1.881797624,0.003544339,8.11E-07
14920,547,,SHARON PRESBYTERIAN CHURCH CEMETERY,8.516493006,0.011154835,3.66E-06
14921,548,,SISTERS OF CHARITY OF NAZARETH CEMETERY,1.003224753,0.002745146,4.32E-07
14922,549,,SISTERS OF THE DIVINE REDEEMER CEMETERY,13.36482711,0.010848633,5.73E-06
14923,550,,TRINITY CHURCH BURYING GROUND,0.129578308,0.001005925,5.57E-08
14924,551,,SISTERS OF DIVINE PROVIDENCE CEMETERY,0.635188167,0.002096816,2.73E-07
14925,552,,ST JOHNS LUTHERAN CEMETERY,3.753863465,0.005239729,1.62E-06
14926,553,,BLUE RUN CEMETERY,0.39816627,0.001840704,1.71E-07
14927,554,,CONCORD PRESBYTERIAN CHURCH CEMETERY,0.493666276,0.001955905,2.12E-07
14928,555,,DIXMONT STATE HOSPITAL CEMETERY,0.241760971,0.001417664,1.04E-07
14929,556,,ST PHILIP CATHOLIC CHURCH CEMETERY ,2.599843022,0.004691962,1.12E-06
14930,557,,STS PETER & PAUL CEMETERY,3.921213144,0.006356705,1.68E-06
14931,558,,ST JOHN THE BAPTIST BYZANTINE CATHOLIC CEMETERY,9.062928304,0.008497478,3.89E-06
14932,559,,BETH JACOB CEMETERY,0.836230086,0.002979715,3.59E-07
14933,560,,TRINITY LUTHERAN CEMETERY,2.058631347,0.003860724,8.86E-07
14934,561,,FOX CHAPEL PRESBYTERIAN  CHURCH MEMORIAL GARDEN,0.38295905,0.001624211,1.65E-07
14935,562,,KETHER TORAH CEMETERY,5.506721863,0.007211818,2.37E-06
14936,563,,LOBBS CEMETERY,2.649691703,0.004339065,1.14E-06
14937,564,,MATES-LINHART CEMETERY,0.199463704,0.00200575,8.57E-08
14938,565,,MILLER UNITED METHODIST CHURCH CEMETERY,0.457933918,0.001939194,1.97E-07
14939,566,,MOST HOLY NAME CEMETERY,5.363063696,0.006195438,2.31E-06
14940,567,,MT CALVARY CEMETERY,23.99929835,0.015568349,1.03E-05
14941,568,,MT HOPE CEMETERY,14.25948503,0.01560068,6.13E-06
14942,569,,MOUNT NEBO UNITED PRESBYTERIAN CHURCH CEMETERY,2.276349791,0.004332272,9.80E-07
14943,570,,NEVILLE ISLAND PRESBYTERIAN CEMETERY,1.040183135,0.00369296,4.47E-07
14944,571,,PENN FOREST NATURAL BURIAL PARK,32.85146922,0.017166427,1.41E-05
14945,572,,PETERS CREEK BAPTIST CHURCH CEMETERY,1.397488664,0.003177669,5.99E-07
14946,573,,PINE CREEK CEMETERY,0.832065818,0.00242074,3.58E-07
14947,574,,ROBB CEMETERY,0.439101422,0.00188481,1.88E-07
14948,575,,ST AGNES CEMETERY,1.980679964,0.004267441,8.50E-07
14949,576,,ST JOHN CEMETERY,3.89831181,0.005231461,1.67E-06
14950,577,,ST JOHNS LUTHERAN CEMETERY,10.90409606,0.009871963,4.69E-06
14951,578,,TRANSFIGURATION CATHOLIC CEMETERY,1.951936318,0.003713248,8.41E-07
14952,579,,WEAVER AND WADDELL CEMETERY,0.1375029,0.001044143,5.89E-08
14953,580,,ST MARY CATHOLIC CHURCH CEMETERY,0.665107733,0.002149463,2.86E-07
14954,581,,ST PAULS LUTHERAN CEMETERY,1.985617437,0.005553621,8.54E-07
14955,582,,SAINT PAULS LUTHERAN CHURCH CEMETERY,2.562652756,0.005580444,1.10E-06
14956,584,,ST WENCESLAUS CEMETERY - ST BONIFACE CEMETERY,12.095774,0.009282975,5.20E-06
14957,585,,ASCENSION OF OUR LORD BYSANTINE CATHOLIC CHRCH CEM,4.607795,0.007169129,1.98E-06
14958,586,,BENAI EMUNOH - AGADATH ACHIM CEMETERY,16.09901523,0.013294817,6.93E-06
14959,587,,SACRED HEART OF JESUS POLISH NATIONAL CATHOLIC CEM,4.57675756,0.008406544,1.96E-06
14960,588,,0,,0.003130492,4.93E-07
14961,589,,FELECIAN SISTERS CEMETERY,2.095883,0.003905658,9.01E-07
